Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(9588156k free), swap 23213284k(9184772k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T18:17:47.999+0200: 0.280: [GC (Allocation Failure) 2020-09-29T18:17:47.999+0200: 0.280: [ParNew: 545344K->59277K(613440K), 0.0916628 secs] 545344K->59277K(2029056K), 0.0919384 secs] [Times: user=0.55 sys=0.08, real=0.09 secs] 
2020-09-29T18:17:48.140+0200: 0.421: [GC (Allocation Failure) 2020-09-29T18:17:48.140+0200: 0.421: [ParNew: 604621K->51169K(613440K), 0.0236323 secs] 604621K->51562K(2029056K), 0.0237064 secs] [Times: user=0.20 sys=0.05, real=0.02 secs] 
2020-09-29T18:17:48.212+0200: 0.493: [GC (Allocation Failure) 2020-09-29T18:17:48.212+0200: 0.493: [ParNew: 596513K->29219K(613440K), 0.0171271 secs] 596906K->29611K(2029056K), 0.0171921 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.285+0200: 0.566: [GC (Allocation Failure) 2020-09-29T18:17:48.285+0200: 0.566: [ParNew: 572681K->22102K(613440K), 0.0168140 secs] 573073K->22494K(2029056K), 0.0168871 secs] [Times: user=0.14 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.350+0200: 0.631: [GC (Allocation Failure) 2020-09-29T18:17:48.350+0200: 0.631: [ParNew: 567446K->58591K(613440K), 0.0268370 secs] 567838K->58983K(2029056K), 0.0269012 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:48.426+0200: 0.707: [GC (Allocation Failure) 2020-09-29T18:17:48.426+0200: 0.707: [ParNew: 603935K->45372K(613440K), 0.0184332 secs] 604327K->45765K(2029056K), 0.0184962 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.496+0200: 0.777: [GC (Allocation Failure) 2020-09-29T18:17:48.496+0200: 0.777: [ParNew: 590716K->39210K(613440K), 0.0190651 secs] 591109K->39603K(2029056K), 0.0191286 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.566+0200: 0.847: [GC (Allocation Failure) 2020-09-29T18:17:48.567+0200: 0.848: [ParNew: 584554K->45567K(613440K), 0.0238515 secs] 584947K->45960K(2029056K), 0.0239347 secs] [Times: user=0.13 sys=0.01, real=0.02 secs] 
2020-09-29T18:17:48.647+0200: 0.928: [GC (Allocation Failure) 2020-09-29T18:17:48.647+0200: 0.928: [ParNew: 590911K->54313K(613440K), 0.0231339 secs] 591304K->54706K(2029056K), 0.0232045 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.719+0200: 1.000: [GC (Allocation Failure) 2020-09-29T18:17:48.719+0200: 1.000: [ParNew: 599657K->21961K(613440K), 0.0150594 secs] 600050K->22354K(2029056K), 0.0151227 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:17:48.789+0200: 1.070: [GC (Allocation Failure) 2020-09-29T18:17:48.789+0200: 1.070: [ParNew: 567305K->36744K(613440K), 0.0205336 secs] 567698K->37137K(2029056K), 0.0206018 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:48.865+0200: 1.146: [GC (Allocation Failure) 2020-09-29T18:17:48.865+0200: 1.146: [ParNew: 582088K->52334K(613440K), 0.0266285 secs] 582481K->52726K(2029056K), 0.0267072 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:48.940+0200: 1.221: [GC (Allocation Failure) 2020-09-29T18:17:48.940+0200: 1.221: [ParNew: 597678K->61223K(613440K), 0.0251599 secs] 598070K->61615K(2029056K), 0.0252584 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.019+0200: 1.300: [GC (Allocation Failure) 2020-09-29T18:17:49.019+0200: 1.300: [ParNew: 606567K->68096K(613440K), 0.0318782 secs] 606959K->69044K(2029056K), 0.0319393 secs] [Times: user=0.19 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:49.104+0200: 1.385: [GC (Allocation Failure) 2020-09-29T18:17:49.104+0200: 1.385: [ParNew: 613440K->51931K(613440K), 0.0237433 secs] 614388K->52880K(2029056K), 0.0238799 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.187+0200: 1.468: [GC (Allocation Failure) 2020-09-29T18:17:49.187+0200: 1.468: [ParNew: 597275K->37965K(613440K), 0.0138738 secs] 598224K->38914K(2029056K), 0.0139510 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T18:17:49.253+0200: 1.534: [GC (Allocation Failure) 2020-09-29T18:17:49.253+0200: 1.534: [ParNew: 583309K->48868K(613440K), 0.0267950 secs] 584258K->49816K(2029056K), 0.0268608 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:49.330+0200: 1.611: [GC (Allocation Failure) 2020-09-29T18:17:49.330+0200: 1.611: [ParNew: 594212K->42982K(613440K), 0.0183555 secs] 595160K->43930K(2029056K), 0.0184197 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.403+0200: 1.684: [GC (Allocation Failure) 2020-09-29T18:17:49.403+0200: 1.684: [ParNew: 588326K->34419K(613440K), 0.0191372 secs] 589274K->35368K(2029056K), 0.0192034 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.476+0200: 1.757: [GC (Allocation Failure) 2020-09-29T18:17:49.476+0200: 1.757: [ParNew: 579763K->27058K(613440K), 0.0095787 secs] 580712K->28006K(2029056K), 0.0096425 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T18:17:49.546+0200: 1.827: [GC (Allocation Failure) 2020-09-29T18:17:49.546+0200: 1.827: [ParNew: 572402K->40658K(613440K), 0.0226502 secs] 573350K->41607K(2029056K), 0.0227424 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.621+0200: 1.902: [GC (Allocation Failure) 2020-09-29T18:17:49.621+0200: 1.902: [ParNew: 586002K->28556K(613440K), 0.0170070 secs] 586951K->29504K(2029056K), 0.0170721 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.699+0200: 1.980: [GC (Allocation Failure) 2020-09-29T18:17:49.699+0200: 1.980: [ParNew: 573900K->44366K(613440K), 0.0214461 secs] 574848K->45314K(2029056K), 0.0215114 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:49.771+0200: 2.052: [GC (Allocation Failure) 2020-09-29T18:17:49.771+0200: 2.052: [ParNew: 589710K->60552K(613440K), 0.0279534 secs] 590658K->61501K(2029056K), 0.0280511 secs] [Times: user=0.13 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:49.851+0200: 2.132: [GC (Allocation Failure) 2020-09-29T18:17:49.851+0200: 2.132: [ParNew: 605896K->68096K(613440K), 0.0342832 secs] 606845K->70973K(2029056K), 0.0343490 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:49.933+0200: 2.214: [GC (Allocation Failure) 2020-09-29T18:17:49.933+0200: 2.214: [ParNew: 613440K->68096K(613440K), 0.0329755 secs] 616317K->71830K(2029056K), 0.0330364 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:50.014+0200: 2.295: [GC (Allocation Failure) 2020-09-29T18:17:50.014+0200: 2.295: [ParNew: 613440K->56278K(613440K), 0.0244621 secs] 617174K->60012K(2029056K), 0.0245358 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.088+0200: 2.369: [GC (Allocation Failure) 2020-09-29T18:17:50.088+0200: 2.369: [ParNew: 601622K->68096K(613440K), 0.0312340 secs] 605356K->72787K(2029056K), 0.0312988 secs] [Times: user=0.25 sys=0.00, real=0.03 secs] 
2020-09-29T18:17:50.167+0200: 2.449: [GC (Allocation Failure) 2020-09-29T18:17:50.167+0200: 2.449: [ParNew: 613440K->46782K(613440K), 0.0227878 secs] 618131K->51473K(2029056K), 0.0228527 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.240+0200: 2.521: [GC (Allocation Failure) 2020-09-29T18:17:50.240+0200: 2.521: [ParNew: 592126K->45469K(613440K), 0.0206182 secs] 596817K->50161K(2029056K), 0.0206996 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.310+0200: 2.591: [GC (Allocation Failure) 2020-09-29T18:17:50.310+0200: 2.591: [ParNew: 590813K->36805K(613440K), 0.0201151 secs] 595505K->41496K(2029056K), 0.0202151 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.383+0200: 2.664: [GC (Allocation Failure) 2020-09-29T18:17:50.383+0200: 2.664: [ParNew: 582149K->33473K(613440K), 0.0193452 secs] 586840K->38165K(2029056K), 0.0194540 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T18:17:50.453+0200: 2.734: [GC (Allocation Failure) 2020-09-29T18:17:50.453+0200: 2.734: [ParNew: 578817K->53893K(613440K), 0.0242265 secs] 583509K->58584K(2029056K), 0.0242937 secs] [Times: user=0.25 sys=0.00, real=0.02 secs] 
