Java HotSpot(TM) 64-Bit Server VM (25.261-b12) for windows-amd64 JRE (1.8.0_261-b12), built on Jun 18 2020 06:56:32 by "" with unknown MS VC++:1916
Memory: 4k page, physical 16659684k(8888232k free), swap 23213284k(7851224k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:MaxNewSize=697933824 -XX:MaxTenuringThreshold=6 -XX:NewSize=697933824 -XX:OldPLABSize=16 -XX:OldSize=1395867648 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseConcMarkSweepGC -XX:-UseLargePagesIndividualAllocation -XX:+UseParNewGC 
2020-09-29T13:06:13.744+0200: 0.455: [GC (Allocation Failure) 2020-09-29T13:06:13.744+0200: 0.456: [ParNew: 545344K->4413K(613440K), 0.0164585 secs] 545344K->4413K(2029056K), 0.0165927 secs] [Times: user=0.13 sys=0.00, real=0.02 secs] 
2020-09-29T13:06:13.857+0200: 0.569: [GC (Allocation Failure) 2020-09-29T13:06:13.857+0200: 0.569: [ParNew: 549757K->4589K(613440K), 0.0064413 secs] 549757K->4589K(2029056K), 0.0064988 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:13.946+0200: 0.658: [GC (Allocation Failure) 2020-09-29T13:06:13.946+0200: 0.658: [ParNew: 549933K->1067K(613440K), 0.0021228 secs] 549933K->1067K(2029056K), 0.0021740 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:14.034+0200: 0.746: [GC (Allocation Failure) 2020-09-29T13:06:14.034+0200: 0.746: [ParNew: 546411K->12622K(613440K), 0.0136478 secs] 546411K->12622K(2029056K), 0.0137225 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.139+0200: 0.850: [GC (Allocation Failure) 2020-09-29T13:06:14.139+0200: 0.850: [ParNew: 557966K->17857K(613440K), 0.0124294 secs] 557966K->17857K(2029056K), 0.0124867 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.240+0200: 0.952: [GC (Allocation Failure) 2020-09-29T13:06:14.240+0200: 0.952: [ParNew: 563201K->12664K(613440K), 0.0088595 secs] 563201K->12664K(2029056K), 0.0089148 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.327+0200: 1.039: [GC (Allocation Failure) 2020-09-29T13:06:14.327+0200: 1.039: [ParNew: 558008K->8752K(613440K), 0.0087310 secs] 558008K->9143K(2029056K), 0.0087858 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.418+0200: 1.130: [GC (Allocation Failure) 2020-09-29T13:06:14.418+0200: 1.130: [ParNew: 554096K->7454K(613440K), 0.0068809 secs] 554487K->7844K(2029056K), 0.0069369 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.507+0200: 1.218: [GC (Allocation Failure) 2020-09-29T13:06:14.507+0200: 1.218: [ParNew: 552798K->5823K(613440K), 0.0055260 secs] 553188K->6213K(2029056K), 0.0055794 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.590+0200: 1.301: [GC (Allocation Failure) 2020-09-29T13:06:14.590+0200: 1.301: [ParNew: 551167K->163K(613440K), 0.0015204 secs] 551557K->553K(2029056K), 0.0015730 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:14.668+0200: 1.379: [GC (Allocation Failure) 2020-09-29T13:06:14.668+0200: 1.379: [ParNew: 545507K->12286K(613440K), 0.0104537 secs] 545897K->12676K(2029056K), 0.0105087 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.757+0200: 1.468: [GC (Allocation Failure) 2020-09-29T13:06:14.757+0200: 1.468: [ParNew: 557630K->17306K(613440K), 0.0093190 secs] 558020K->17696K(2029056K), 0.0093751 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.849+0200: 1.561: [GC (Allocation Failure) 2020-09-29T13:06:14.849+0200: 1.561: [ParNew: 562650K->11593K(613440K), 0.0095543 secs] 563040K->11983K(2029056K), 0.0096124 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:14.938+0200: 1.649: [GC (Allocation Failure) 2020-09-29T13:06:14.938+0200: 1.649: [ParNew: 556937K->8412K(613440K), 0.0075523 secs] 557327K->8802K(2029056K), 0.0076233 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.024+0200: 1.736: [GC (Allocation Failure) 2020-09-29T13:06:15.024+0200: 1.736: [ParNew: 553756K->7464K(613440K), 0.0067150 secs] 554146K->7854K(2029056K), 0.0068132 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.112+0200: 1.824: [GC (Allocation Failure) 2020-09-29T13:06:15.112+0200: 1.824: [ParNew: 552808K->5985K(613440K), 0.0055504 secs] 553198K->6376K(2029056K), 0.0056070 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.198+0200: 1.910: [GC (Allocation Failure) 2020-09-29T13:06:15.198+0200: 1.910: [ParNew: 550697K->220K(613440K), 0.0014903 secs] 551088K->610K(2029056K), 0.0015415 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:15.279+0200: 1.990: [GC (Allocation Failure) 2020-09-29T13:06:15.279+0200: 1.990: [ParNew: 545564K->12019K(613440K), 0.0100880 secs] 545954K->12409K(2029056K), 0.0101428 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.369+0200: 2.080: [GC (Allocation Failure) 2020-09-29T13:06:15.369+0200: 2.080: [ParNew: 557363K->16923K(613440K), 0.0097481 secs] 557753K->17313K(2029056K), 0.0098034 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.462+0200: 2.173: [GC (Allocation Failure) 2020-09-29T13:06:15.462+0200: 2.173: [ParNew: 562267K->11920K(613440K), 0.0080881 secs] 562657K->12310K(2029056K), 0.0081440 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.550+0200: 2.261: [GC (Allocation Failure) 2020-09-29T13:06:15.550+0200: 2.261: [ParNew: 557264K->8094K(613440K), 0.0073660 secs] 557654K->8484K(2029056K), 0.0074368 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.634+0200: 2.346: [GC (Allocation Failure) 2020-09-29T13:06:15.634+0200: 2.346: [ParNew: 553438K->7105K(613440K), 0.0062230 secs] 553828K->7495K(2029056K), 0.0062784 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.718+0200: 2.429: [GC (Allocation Failure) 2020-09-29T13:06:15.718+0200: 2.429: [ParNew: 552449K->5596K(613440K), 0.0052288 secs] 552839K->5987K(2029056K), 0.0052827 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.800+0200: 2.511: [GC (Allocation Failure) 2020-09-29T13:06:15.800+0200: 2.511: [ParNew: 550940K->151K(613440K), 0.0014935 secs] 551331K->541K(2029056K), 0.0015447 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:15.880+0200: 2.591: [GC (Allocation Failure) 2020-09-29T13:06:15.880+0200: 2.591: [ParNew: 545495K->12255K(613440K), 0.0106183 secs] 545885K->12645K(2029056K), 0.0106772 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:15.970+0200: 2.682: [GC (Allocation Failure) 2020-09-29T13:06:15.970+0200: 2.682: [ParNew: 557599K->17295K(613440K), 0.0092436 secs] 557989K->17685K(2029056K), 0.0093031 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.058+0200: 2.769: [GC (Allocation Failure) 2020-09-29T13:06:16.058+0200: 2.769: [ParNew: 562639K->12228K(613440K), 0.0086509 secs] 563029K->12618K(2029056K), 0.0087062 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.145+0200: 2.857: [GC (Allocation Failure) 2020-09-29T13:06:16.145+0200: 2.857: [ParNew: 557572K->8526K(613440K), 0.0073352 secs] 557962K->8916K(2029056K), 0.0074393 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.232+0200: 2.943: [GC (Allocation Failure) 2020-09-29T13:06:16.232+0200: 2.943: [ParNew: 553870K->7605K(613440K), 0.0063987 secs] 554260K->7995K(2029056K), 0.0064527 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.313+0200: 3.024: [GC (Allocation Failure) 2020-09-29T13:06:16.313+0200: 3.024: [ParNew: 552949K->4556K(613440K), 0.0053480 secs] 553339K->4946K(2029056K), 0.0054049 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.400+0200: 3.111: [GC (Allocation Failure) 2020-09-29T13:06:16.400+0200: 3.111: [ParNew: 549900K->138K(613440K), 0.0016245 secs] 550290K->529K(2029056K), 0.0016798 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:16.500+0200: 3.211: [GC (Allocation Failure) 2020-09-29T13:06:16.500+0200: 3.211: [ParNew: 545482K->12236K(613440K), 0.0113739 secs] 545873K->12627K(2029056K), 0.0114281 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.596+0200: 3.307: [GC (Allocation Failure) 2020-09-29T13:06:16.596+0200: 3.307: [ParNew: 557580K->14423K(613440K), 0.0102047 secs] 557971K->14813K(2029056K), 0.0102656 secs] [Times: user=0.11 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.689+0200: 3.400: [GC (Allocation Failure) 2020-09-29T13:06:16.689+0200: 3.400: [ParNew: 559767K->10311K(613440K), 0.0083781 secs] 560157K->10701K(2029056K), 0.0084593 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.777+0200: 3.488: [GC (Allocation Failure) 2020-09-29T13:06:16.777+0200: 3.488: [ParNew: 555655K->9210K(613440K), 0.0077417 secs] 556045K->9601K(2029056K), 0.0077968 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.866+0200: 3.578: [GC (Allocation Failure) 2020-09-29T13:06:16.866+0200: 3.578: [ParNew: 554554K->7637K(613440K), 0.0064528 secs] 554945K->8027K(2029056K), 0.0065461 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:16.952+0200: 3.664: [GC (Allocation Failure) 2020-09-29T13:06:16.952+0200: 3.664: [ParNew: 552981K->4582K(613440K), 0.0053062 secs] 553371K->4972K(2029056K), 0.0053615 secs] [Times: user=0.00 sys=0.02, real=0.01 secs] 
2020-09-29T13:06:17.034+0200: 3.745: [GC (Allocation Failure) 2020-09-29T13:06:17.034+0200: 3.745: [ParNew: 549926K->137K(613440K), 0.0017095 secs] 550316K->527K(2029056K), 0.0017607 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:17.111+0200: 3.822: [GC (Allocation Failure) 2020-09-29T13:06:17.111+0200: 3.823: [ParNew: 545481K->12213K(613440K), 0.0102814 secs] 545871K->12603K(2029056K), 0.0103791 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.205+0200: 3.916: [GC (Allocation Failure) 2020-09-29T13:06:17.206+0200: 3.917: [ParNew: 557557K->17304K(613440K), 0.0099538 secs] 557947K->17694K(2029056K), 0.0110931 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.295+0200: 4.007: [GC (Allocation Failure) 2020-09-29T13:06:17.295+0200: 4.007: [ParNew: 562648K->11890K(613440K), 0.0077981 secs] 563038K->12280K(2029056K), 0.0078543 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.381+0200: 4.092: [GC (Allocation Failure) 2020-09-29T13:06:17.381+0200: 4.092: [ParNew: 557234K->7765K(613440K), 0.0072517 secs] 557624K->8155K(2029056K), 0.0073075 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.469+0200: 4.181: [GC (Allocation Failure) 2020-09-29T13:06:17.469+0200: 4.181: [ParNew: 553109K->6636K(613440K), 0.0061984 secs] 553499K->7027K(2029056K), 0.0062536 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.552+0200: 4.263: [GC (Allocation Failure) 2020-09-29T13:06:17.552+0200: 4.263: [ParNew: 551980K->4080K(613440K), 0.0047803 secs] 552371K->4470K(2029056K), 0.0048335 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:17.640+0200: 4.351: [GC (Allocation Failure) 2020-09-29T13:06:17.640+0200: 4.351: [ParNew: 549424K->71K(613440K), 0.0016777 secs] 549814K->461K(2029056K), 0.0017303 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:17.721+0200: 4.432: [GC (Allocation Failure) 2020-09-29T13:06:17.721+0200: 4.432: [ParNew: 545415K->12101K(613440K), 0.0104048 secs] 545805K->12492K(2029056K), 0.0104611 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.809+0200: 4.521: [GC (Allocation Failure) 2020-09-29T13:06:17.809+0200: 4.521: [ParNew: 557445K->17116K(613440K), 0.0092979 secs] 557836K->17506K(2029056K), 0.0093753 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.901+0200: 4.613: [GC (Allocation Failure) 2020-09-29T13:06:17.901+0200: 4.613: [ParNew: 562460K->12047K(613440K), 0.0086594 secs] 562850K->12437K(2029056K), 0.0087127 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:17.995+0200: 4.706: [GC (Allocation Failure) 2020-09-29T13:06:17.995+0200: 4.706: [ParNew: 557391K->8016K(613440K), 0.0082094 secs] 557781K->8406K(2029056K), 0.0082739 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.089+0200: 4.800: [GC (Allocation Failure) 2020-09-29T13:06:18.089+0200: 4.800: [ParNew: 553360K->6733K(613440K), 0.0062833 secs] 553750K->7123K(2029056K), 0.0063432 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.174+0200: 4.886: [GC (Allocation Failure) 2020-09-29T13:06:18.174+0200: 4.886: [ParNew: 550178K->273K(613440K), 0.0016675 secs] 550569K->664K(2029056K), 0.0017191 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:18.255+0200: 4.966: [GC (Allocation Failure) 2020-09-29T13:06:18.255+0200: 4.966: [ParNew: 545617K->12225K(613440K), 0.0100151 secs] 546008K->12616K(2029056K), 0.0100729 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.341+0200: 5.052: [GC (Allocation Failure) 2020-09-29T13:06:18.341+0200: 5.052: [ParNew: 557569K->17193K(613440K), 0.0091059 secs] 557960K->17583K(2029056K), 0.0091650 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.428+0200: 5.140: [GC (Allocation Failure) 2020-09-29T13:06:18.428+0200: 5.140: [ParNew: 562537K->12063K(613440K), 0.0081619 secs] 562927K->12454K(2029056K), 0.0082203 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.516+0200: 5.227: [GC (Allocation Failure) 2020-09-29T13:06:18.516+0200: 5.227: [ParNew: 557407K->8264K(613440K), 0.0078197 secs] 557798K->8654K(2029056K), 0.0078748 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.605+0200: 5.317: [GC (Allocation Failure) 2020-09-29T13:06:18.605+0200: 5.317: [ParNew: 553608K->7375K(613440K), 0.0068451 secs] 553998K->7765K(2029056K), 0.0069003 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
2020-09-29T13:06:18.693+0200: 5.404: [GC (Allocation Failure) 2020-09-29T13:06:18.693+0200: 5.404: [ParNew: 552719K->5828K(613440K), 0.0055336 secs] 553109K->6219K(2029056K), 0.0055895 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:18.776+0200: 5.487: [GC (Allocation Failure) 2020-09-29T13:06:18.776+0200: 5.487: [ParNew: 551172K->168K(613440K), 0.0014678 secs] 551563K->558K(2029056K), 0.0015203 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2020-09-29T13:06:18.856+0200: 5.568: [GC (Allocation Failure) 2020-09-29T13:06:18.856+0200: 5.568: [ParNew: 545512K->12289K(613440K), 0.0110465 secs] 545902K->12679K(2029056K), 0.0111083 secs] [Times: user=0.13 sys=0.00, real=0.01 secs] 
